Feature1,Feature2,Correlation,Notes
foreign_gross,scaled_foreign_gross,0.9999999999999991,
profit,scaled_profit,0.9999999999999984,
domestic_gross,scaled_domestic_gross,0.999999999999998,
tn_worldwide_gross,scaled_tn_worldwide_gross,0.9999999999999976,
profit_proportion,roi_perc,0.9999999999999966,
tn_production_budget,scaled_tn_production_budget,0.9999999999999951,
tn_domestic_gross,scaled_domestic_gross,0.9999968286411973,
domestic_gross,tn_domestic_gross,0.999996828641197,Domestic gross is almost perfectly correlated with tn_domestic_gross ensuring consistent revenue measurement. 
tn_worldwide_gross,scaled_foreign_gross,0.9838038115292911,
foreign_gross,tn_worldwide_gross,0.9838038109849432,High correlation indicates the significance of international markets in overall worldwide gross.
scaled_tn_worldwide_gross,scaled_foreign_gross,0.9838038107825714,
foreign_gross,scaled_tn_worldwide_gross,0.9838038102382235,
tn_worldwide_gross,scaled_profit,0.9824380178334047,
tn_worldwide_gross,profit,0.9824380177812788,Worldwide gross strongly impacts overall profit; prioritize global appeal to maximize profit.
scaled_profit,scaled_tn_worldwide_gross,0.9824380175772972,
profit,scaled_tn_worldwide_gross,0.9824380175251692,
foreign_gross,profit,0.9684751371889255,Foreign gross significantly contributes to profit; focus on international marketing.
profit,scaled_foreign_gross,0.9684751371058037,
foreign_gross,scaled_profit,0.9684751368385897,
scaled_profit,scaled_foreign_gross,0.9684751367554685,
tn_domestic_gross,scaled_tn_worldwide_gross,0.9489865162574236,
tn_domestic_gross,tn_worldwide_gross,0.9489865148908773,Domestic gross is a major component of worldwide gross; balance domestic and international strategies.
tn_domestic_gross,scaled_profit,0.9479142790122104,
tn_domestic_gross,profit,0.94791427800791,Domestic gross substantially impacts profit; ensure strong domestic market presence.
domestic_gross,scaled_tn_worldwide_gross,0.9438412057203323,
scaled_tn_worldwide_gross,scaled_domestic_gross,0.9438412057203297,
domestic_gross,tn_worldwide_gross,0.9438412043130024,Domestic gross significantly affects worldwide gross; leverage domestic success to boost international performance.
tn_worldwide_gross,scaled_domestic_gross,0.9438412043130017,
scaled_profit,scaled_domestic_gross,0.9399144449913025,
domestic_gross,scaled_profit,0.9399144449913014,
profit,scaled_domestic_gross,0.9399144440576667,
