,profit,profit_proportion,tn_production_budget,averagerating,numvotes
sci-fi,0.19521597165599947,0.05019036360614176,0.2464185083253472,-0.06072031505546875,0.2709525403231866
sport,-0.023108542836057257,-0.025509962128933437,-0.02997257203100941,0.06964173825883084,-0.031688045438432885
action,0.22662390096328897,0.08307651002824043,0.3618554062723466,-0.06150258216366556,0.24842078364143935
mystery,-0.046878846052542854,0.0402148584308186,-0.0893286588617451,-0.062049638043302234,0.001555779601025177
biography,-0.0632589658950371,-0.04738967927013154,-0.043043738394144125,0.1602912960264827,-0.01619697411472006
history,-0.046296554252122694,-0.058740650592171116,-0.026066140243217982,0.09551235179730803,-0.03920970686090105
thriller,-0.029050891240142384,0.004212661277380686,-0.048944499262883,-0.07076117893793153,-0.006099575402818165
drama,-0.15469520093079034,-0.09662934359993171,-0.20158173130256798,0.21847178606680534,-0.06667266946217826
crime,-0.049288694201786866,-0.03821562269089906,-0.043929940339589725,0.022215242009411478,0.028121601238263728
musical,-0.01593275604514428,-0.018654089496094137,-0.01947064565067428,0.0135676764272972,-0.03267642142303684
adventure,0.33315413405916555,0.1313257591209117,0.4984582136010554,-0.007421297870673413,0.26727878963575524
western,-0.02306198538863444,-0.05274073331504662,-0.01674822506946559,0.003733525573369065,-0.011836895468136599
romance,-0.06677265144049335,0.039028215857527145,-0.11151229129397025,0.0014802753921968944,-0.07319660802386552
fantasy,0.09622587090133422,0.006296122195725133,0.15035425773881678,-0.05661119721586094,0.06482637070365854
music,-0.03192919671264763,-0.011225658271378199,-0.05002800225941583,0.042036635943657794,-0.0455993847994008
documentary,-0.04694264805050167,-0.04263809793988305,-0.09175557503608159,0.1523139668912105,-0.08128401791069155
comedy,-0.022699227697564828,0.09884388857631031,-0.029765846087998853,-0.08539475789086742,-0.044341073221022716
animation,0.10863372015717408,0.07574247900650512,0.15441610222756805,0.031929522810229885,-0.0006168008720305967
horror,-0.0500147797251137,0.04421376477100744,-0.10206011108383911,-0.16941759510945575,-0.036649486676455775
war,-0.032551415023551654,-0.04481962758691394,-0.04102722533521077,0.04357049307032768,-0.019918081495288353
family,0.024930924414636395,0.005906881433657419,0.03933137167275885,-0.07194616769788248,-0.04863976729120031
